"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",10,66000000,"３ＬＤＫ",65,"2011年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,43000000,"１ＬＤＫ",35,"2018年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","荏原中延",9,38000000,"１ＬＤＫ",45,"2010年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,19000000,"１Ｋ",20,"2000年","ＳＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","西小山",8,55000000,"２ＬＤＫ",65,"1991年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,37000000,"１Ｒ",25,"2019年","ＲＣ","","","近隣商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",13,47000000,"２ＬＤＫ",55,"2004年","ＲＣ","","","１中住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,20000000,"１Ｋ",25,"2003年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",9,30000000,"１ＬＤＫ",50,"1978年","ＲＣ","","","近隣商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,84000000,"２ＬＤＫ",70,"2012年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,51000000,"１ＬＤＫ",45,"2012年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",9,60000000,"２ＬＤＫ",55,"2006年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,92000000,"２ＬＤＫ",75,"2012年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,83000000,"２ＬＤＫ",70,"2012年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",9,53000000,"１ＬＤＫ",50,"2007年","ＲＣ","","","１低住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,120000000,"２ＬＤＫ",65,"2017年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,120000000,"１ＬＤＫ",65,"2017年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",8,70000000,"１ＬＤＫ",55,"2011年","ＲＣ","","","２種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",7,69000000,"２ＬＤＫ",70,"2011年","ＲＣ","","","１低住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",6,70000000,"２ＬＤＫ",55,"2015年","ＲＣ","","","１中住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",3,62000000,"３ＬＤＫ",75,"1982年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,110000000,"２ＬＤＫ",60,"2007年","ＲＣ","","","","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,200000000,"２ＬＤＫ",85,"2017年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,88000000,"１ＬＤＫ",40,"2017年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",2,190000000,"２ＬＤＫ＋Ｓ",80,"2017年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",5,170000000,"２ＬＤＫ",95,"2008年","ＲＣ","","","１中住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",6,54000000,"１ＬＤＫ",40,"2015年","ＲＣ","","","","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,19000000,"１Ｒ",25,"1979年","ＳＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,120000000,"１ＬＤＫ",65,"2017年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",5,36000000,"２ＬＤＫ",55,"1995年","ＲＣ","","","１中住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","大森(東京)",12,51000000,"３ＬＤＫ",60,"2002年","ＲＣ","","","１低住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","中延",5,61000000,"２ＬＤＫ",55,"2015年","ＲＣ","","","近隣商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西品川","大崎",11,9300000,"１Ｒ",20,"1991年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",4,84000000,"２ＬＤＫ",80,"2004年","ＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",6,48000000,"１ＬＤＫ",40,"2018年","ＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",8,31000000,"２ＤＫ",45,"1971年","ＳＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,55000000,"１ＬＤＫ＋Ｓ",55,"1992年","ＳＲＣ","","","","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,43000000,"１ＬＤＫ",35,"2018年","ＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,45000000,"１ＬＤＫ",35,"2018年","ＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",6,62000000,"２ＬＤＫ",55,"1985年","ＳＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",10,55000000,"２ＬＤＫ",60,"1999年","ＳＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",10,47000000,"１ＬＤＫ",70,"2010年","ＲＣ","","","１中住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,54000000,"１ＬＤＫ",55,"2000年","ＳＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",2,45000000,"１ＬＤＫ",40,"2004年","ＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",16,53000000,"２ＬＤＫ",60,"2009年","ＲＣ","","","近隣商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",11,45000000,"２ＬＤＫ",70,"2003年","ＳＲＣ","","","近隣商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",3,30000000,"２ＤＫ",45,"1979年","ＳＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",9,89000000,"２ＬＤＫ",75,"2006年","ＲＣ","","","近隣商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大森(東京)",6,72000000,"１ＬＤＫ＋Ｓ",70,"2007年","ＲＣ","","","１種住居","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,100000000,"３ＬＤＫ",80,"2012年","ＲＣ","","","１種住居","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,64000000,"１ＬＤＫ",45,"2019年","ＲＣ","","","近隣商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,74000000,"２ＬＤＫ",55,"2020年","ＲＣ","","","","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","西大井",10,69000000,"１ＬＤＫ＋Ｓ",85,"2004年","ＲＣ","","","１中住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",9,62000000,"２ＬＤＫ",60,"2000年","ＲＣ","","","２種住居","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,90000000,"１ＬＤＫ",55,"2007年","ＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,150000000,"２ＬＤＫ",75,"2007年","ＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",3,60000000,"３ＬＤＫ",100,"1971年","ＳＲＣ","","","２中住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",2,130000000,"２ＬＤＫ",65,"2017年","ＲＣ","","","１種住居","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",2,120000000,"２ＬＤＫ",55,"2017年","ＲＣ","","","１種住居","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",2,40000000,"１Ｒ",45,"1974年","ＳＲＣ","","","","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",8,45000000,"１ＬＤＫ",35,"2011年","ＳＲＣ","","","２種住居","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",8,220000000,"３ＬＤＫ",130,"2002年","ＲＣ","","","１低住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",8,85000000,"３ＬＤＫ",75,"1999年","ＲＣ","","","１中住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",2,120000000,"２ＬＤＫ",60,"2017年","ＲＣ","","","１種住居","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",8,230000000,"３ＬＤＫ",130,"2002年","ＲＣ","","","１低住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",9,41000000,"２ＬＤＫ",55,"2008年","ＲＣ","","","１中住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",1,63000000,"２ＬＤＫ",70,"2003年","ＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",10,38000000,"１ＬＤＫ",45,"2008年","ＲＣ","","","１中住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","馬込",8,15000000,"２Ｋ",35,"1984年","ＲＣ","","","近隣商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","大森(東京)",10,33000000,"２ＬＤＫ",50,"1993年","ＲＣ","","","１中住専","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",1,49000000,"１ＬＤＫ",60,"2003年","ＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","中延",5,72000000,"３ＬＤＫ",70,"2015年","ＲＣ","","","商業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西品川","大崎",9,30000000,"３Ｋ",55,"1991年","ＲＣ","","","１種住居","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,43000000,"１ＬＤＫ",35,"2018年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",5,46000000,"１ＬＤＫ",50,"1993年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",10,61000000,"１ＬＤＫ＋Ｓ",65,"2003年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","旗の台",9,24000000,"１Ｋ",25,"2007年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,78000000,"１ＬＤＫ＋Ｓ",75,"1999年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",8,41000000,"１ＬＤＫ",40,"2010年","ＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","旗の台",10,55000000,"１ＬＤＫ",65,"1982年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","西小山",6,30000000,"２ＬＤＫ",50,"1973年","ＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",6,40000000,"１ＬＤＫ",40,"1998年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","西小山",4,32000000,"１ＬＤＫ",45,"1973年","ＳＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,9500000,"１Ｒ",20,"1986年","ＳＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","西小山",9,67000000,"３ＬＤＫ",80,"2002年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",6,55000000,"４ＤＫ",140,"1985年","ＲＣ","","","近隣商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,49000000,"１ＬＤＫ",55,"2000年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",8,95000000,"３ＬＤＫ",100,"2004年","ＲＣ","","","１中住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大森(東京)",8,43000000,"２ＬＤＫ＋Ｓ",55,"1984年","ＲＣ","","","１低住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,52000000,"２ＬＤＫ",55,"2000年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,120000000,"２ＬＤＫ",75,"2019年","ＲＣ","","","近隣商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",8,80000000,"３ＬＤＫ",75,"2004年","ＲＣ","","","１中住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",8,80000000,"３ＬＤＫ",75,"2004年","ＲＣ","","","１中住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",3,37000000,"１ＬＤＫ",50,"1979年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,100000000,"２ＬＤＫ",75,"2019年","ＲＣ","","","近隣商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,88000000,"２ＬＤＫ",75,"2012年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",11,92000000,"４ＬＤＫ",100,"2002年","ＲＣ","","","１中住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,130000000,"３ＬＤＫ",90,"2012年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大森(東京)",11,70000000,"２ＬＤＫ",65,"2017年","ＲＣ","","","１低住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,42000000,"１Ｒ",40,"2000年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,63000000,"１Ｋ",35,"2007年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",2,230000000,"２ＬＤＫ",90,"2017年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","恵比寿",12,170000000,"２ＬＤＫ",90,"2017年","ＲＣ","","","１低住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","高輪台",8,33000000,"２ＤＫ",40,"1972年","ＲＣ","","","１中住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",5,100000000,"１ＬＤＫ",70,"2008年","ＲＣ","","","１中住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",11,250000000,"３ＬＤＫ",140,"2017年","ＲＣ","","","１低住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",8,64000000,"２ＬＤＫ",50,"1987年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",9,46000000,"２ＬＤＫ",50,"1977年","ＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",7,75000000,"１ＬＤＫ",70,"2011年","ＲＣ","","","１低住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",2,60000000,"２ＬＤＫ",50,"1977年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","大森(東京)",12,64000000,"３ＬＤＫ",80,"2002年","ＲＣ","","","１低住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","大森(東京)",10,35000000,"２ＬＤＫ",50,"1993年","ＲＣ","","","１中住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","馬込",7,20000000,"１Ｋ",25,"2007年","ＲＣ","","","１中住専","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西品川","大崎",11,75000000,"２ＬＤＫ",75,"2004年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西品川","","",22000000,"１Ｋ",25,"","","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,45000000,"３ＤＫ",50,"1986年","ＳＲＣ","","","商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",5,55000000,"２ＬＤＫ",55,"1993年","ＳＲＣ","","","商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,65000000,"２ＬＤＫ",55,"1997年","ＲＣ","","","１種住居","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","西小山",8,15000000,"１ＤＫ",25,"1993年","ＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","西小山",3,36000000,"２ＬＤＫ",50,"1995年","ＲＣ","","","近隣商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","","",19000000,"１Ｋ",20,"","","","","","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",6,40000000,"１ＬＤＫ",35,"1998年","ＳＲＣ","","","商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","西小山",8,28000000,"１Ｋ",25,"2015年","ＲＣ","","","","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大森(東京)",11,88000000,"３ＬＤＫ",80,"2017年","ＲＣ","","","１低住専","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,63000000,"１ＬＤＫ",45,"2019年","ＲＣ","","","近隣商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",6,24000000,"１Ｋ",25,"2008年","ＲＣ","","","商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",7,48000000,"２ＬＤＫ",65,"1970年","ＳＲＣ","","","１中住専","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",7,85000000,"２ＬＤＫ",65,"2001年","ＲＣ","","","１中住専","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","白金台",7,160000000,"２ＬＤＫ",105,"2007年","ＲＣ","","","１中住専","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,87000000,"１ＬＤＫ",50,"2007年","ＲＣ","","","商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",6,80000000,"２ＬＤＫ",60,"2015年","ＲＣ","","","１中住専","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",1,88000000,"１ＬＤＫ",45,"2017年","ＳＲＣ","","","商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",7,40000000,"２ＬＤＫ",65,"1999年","ＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",7,62000000,"２ＬＤＫ",65,"2011年","ＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",8,34000000,"２ＬＤＫ",50,"1983年","ＲＣ","","","","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","中延",5,74000000,"３ＬＤＫ",65,"2015年","ＲＣ","","","商業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西大井","西大井",5,50000000,"２ＬＤＫ",55,"1995年","ＲＣ","","","１中住専","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","勝島","大井競馬場前",8,71000000,"４ＬＤＫ",90,"2015年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","勝島","立会川",11,58000000,"３ＬＤＫ",75,"2017年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","勝島","立会川",11,51000000,"２ＬＤＫ",65,"2017年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","勝島","立会川",11,56000000,"３ＬＤＫ",75,"2017年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","北品川",4,110000000,"２ＬＤＫ",110,"2003年","ＳＲＣ","","","１中住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","大崎",7,25000000,"１Ｋ",25,"2005年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","大崎",6,97000000,"１ＬＤＫ",70,"2015年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","北品川",3,29000000,"１ＬＤＫ",45,"1979年","ＳＲＣ","","","","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","品川",10,49000000,"１ＬＤＫ",45,"2018年","ＲＣ","","","近隣商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","大崎",11,33000000,"１ＬＤＫ",40,"1981年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","大崎",5,39000000,"２ＬＤＫ",45,"1979年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","大崎",6,65000000,"１ＬＤＫ",45,"2015年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","大崎",6,110000000,"３ＬＤＫ",70,"2015年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","北品川","大崎",11,91000000,"２ＬＤＫ",80,"2007年","ＲＣ","","","１低住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","小山台","武蔵小山",11,70000000,"３ＬＤＫ",70,"2006年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","戸越","大崎",11,50000000,"１ＬＤＫ",45,"2013年","ＲＣ","","","","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","戸越","戸越",4,45000000,"２ＤＫ",50,"1998年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","中延","荏原中延",5,21000000,"３ＤＫ",60,"1987年","ＲＣ","","","１低住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西五反田","不動前",2,53000000,"１ＬＤＫ",55,"2011年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西五反田","五反田",3,20000000,"１Ｒ",30,"1977年","ＳＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西五反田","不動前",4,86000000,"２ＬＤＫ",55,"2017年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西五反田","不動前",4,110000000,"２ＬＤＫ",70,"2017年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西五反田","戸越",6,23000000,"１ＬＤＫ",40,"1979年","ＳＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","西五反田","五反田",7,27000000,"１Ｋ",20,"2018年","ＲＣ","","","商業","","","2021年第1四半期","",""
